subid,revealed,lapses,replied,model,n_repeat,prop
221,126,13,126,full,1,1
211,287,39,287,full,1,1
234,321,17,321,full,1,1
203,335,0,335,full,1,1
37,329,46,329,full,1,1
268,328,26,328,full,1,1
179,330,0,330,full,1,1
178,320,6,320,full,1,1
192,334,0,334,full,1,1
222,342,0,342,full,1,1
162,357,0,357,full,1,1
207,140,5,140,full,1,1
201,270,0,270,full,1,1
119,348,0,348,full,1,1
265,285,1,285,full,1,1
208,291,0,291,full,1,1
31,180,0,180,full,1,1
196,279,0,279,full,1,1
52,333,4,333,full,1,1
85,325,2,325,full,1,1
42,338,19,338,full,1,1
116,122,16,122,full,1,1
188,297,0,297,full,1,1
79,352,2,352,full,1,1
169,324,15,324,full,1,1
262,268,0,268,full,1,1
26,296,2,296,full,1,1
255,328,0,328,full,1,1
48,325,63,325,full,1,1
135,314,0,314,full,1,1
270,334,1,334,full,1,1
224,307,0,307,full,1,1
53,284,9,284,full,1,1
78,254,8,254,full,1,1
134,268,0,268,full,1,1
94,304,0,304,full,1,1
28,262,0,262,full,1,1
213,259,3,259,full,1,1
163,212,0,212,full,1,1
263,262,5,262,full,1,1
200,162,0,162,full,1,1
232,61,0,61,full,1,1
88,338,0,338,full,1,1
76,101,0,101,full,1,1
90,128,1,128,full,1,1
40,335,0,335,full,1,1
44,338,0,338,full,1,1
100,267,2,267,full,1,1
166,338,26,338,full,1,1
149,242,0,242,full,1,1
197,248,0,248,full,1,1
117,263,10,263,full,1,1
63,296,1,296,full,1,1
21,154,0,154,full,1,1
97,264,1,264,full,1,1
92,272,8,272,full,1,1
1,177,0,177,full,1,1
64,278,1,278,full,1,1
143,324,0,324,full,1,1
171,332,0,332,full,1,1
236,312,6,312,full,1,1
66,200,0,200,full,1,1
185,374,1,374,full,1,1
218,132,16,132,full,1,1
81,324,1,324,full,1,1
86,300,55,300,full,1,1
38,305,3,305,full,1,1
241,252,19,252,full,1,1
230,357,1,357,full,1,1
39,269,10,269,full,1,1
51,344,16,344,full,1,1
121,243,28,243,full,1,1
172,98,3,98,full,1,1
137,264,22,264,full,1,1
32,311,0,311,full,1,1
77,349,7,349,full,1,1
231,184,3,184,full,1,1
214,321,18,321,full,1,1
128,330,108,330,full,1,1
74,285,0,285,full,1,1
180,232,13,232,full,1,1
139,236,0,236,full,1,1
80,190,4,190,full,1,1
161,300,1,300,full,1,1
54,355,31,355,full,1,1
2,280,5,280,full,1,1
156,188,0,188,full,1,1
19,303,2,303,full,1,1
103,332,0,332,full,1,1
193,250,0,250,full,1,1
18,329,0,329,full,1,1
175,348,5,348,full,1,1
23,316,0,316,full,1,1
238,408,0,408,full,1,1
59,221,4,221,full,1,1
189,343,7,343,full,1,1
109,282,19,282,full,1,1
16,253,10,253,full,1,1
3,338,9,338,full,1,1
10,235,19,235,full,1,1
181,344,0,344,full,1,1
183,265,0,265,full,1,1
167,177,0,177,full,1,1
118,371,10,371,full,1,1
264,328,0,328,full,1,1
56,207,28,207,full,1,1
187,320,0,320,full,1,1
43,231,24,231,full,1,1
242,336,0,336,full,1,1
209,200,0,200,full,1,1
130,302,0,302,full,1,1
205,170,0,170,full,1,1
84,310,1,310,full,1,1
136,343,0,343,full,1,1
259,333,0,333,full,1,1
212,144,8,144,full,1,1
191,229,15,229,full,1,1
245,169,0,169,full,1,1
82,114,1,114,full,1,1
25,346,19,346,full,1,1
215,320,0,320,full,1,1
7,336,18,336,full,1,1
150,368,7,368,full,1,1
99,307,0,307,full,1,1
98,342,56,342,full,1,1
225,305,1,305,full,1,1
58,314,46,314,full,1,1
223,318,0,318,full,1,1
6,332,0,332,full,1,1
33,288,8,288,full,1,1
110,348,2,348,full,1,1
5,355,0,355,full,1,1
158,325,6,325,full,1,1
252,342,0,342,full,1,1
34,290,24,290,full,1,1
47,62,11,62,full,1,1
243,211,0,211,full,1,1
15,340,0,340,full,1,1
20,315,1,315,full,1,1
29,234,0,234,full,1,1
93,50,8,50,full,1,1
240,317,0,317,full,1,1
30,326,0,326,full,1,1
65,278,2,278,full,1,1
131,268,37,268,full,1,1
9,331,0,331,full,1,1
138,334,0,334,full,1,1
248,343,0,343,full,1,1
11,345,9,345,full,1,1
27,348,5,348,full,1,1
190,268,0,268,full,1,1
180,232,13,232,full,2,1
259,333,0,333,full,2,1
203,335,0,335,full,2,1
215,320,0,320,full,2,1
5,355,0,355,full,2,1
99,307,0,307,full,2,1
238,408,0,408,full,2,1
205,170,0,170,full,2,1
98,342,56,342,full,2,1
31,180,0,180,full,2,1
121,243,28,243,full,2,1
231,184,3,184,full,2,1
80,190,4,190,full,2,1
56,207,28,207,full,2,1
76,101,0,101,full,2,1
245,169,0,169,full,2,1
255,328,0,328,full,2,1
183,265,0,265,full,2,1
93,50,8,50,full,2,1
263,262,5,262,full,2,1
222,342,0,342,full,2,1
242,336,0,336,full,2,1
