model,posterior
xgboost,0.8949396767365907
nn_full,0.8794856434036211
nn_lv1,0.8742609578894358
nn_lv2,0.8682833268204624
nn_lv3,0.8477928880608024
nn_lv4,0.7922167982356719
xgboost,0.8945270514535102
nn_full,0.8790012519650389
nn_lv1,0.8787702883462163
nn_lv2,0.869377164052512
nn_lv3,0.8451248629376567
nn_lv4,0.7939795969250771
xgboost,0.9009929295635842
nn_full,0.8777437647645813
nn_lv1,0.8744825254928743
nn_lv2,0.8684025166563529
nn_lv3,0.8489574295534886
nn_lv4,0.7830893172503454
xgboost,0.8760165179971776
nn_full,0.846850167301677
nn_lv1,0.8446312195970541
nn_lv2,0.8369113952317232
nn_lv3,0.813373978645984
nn_lv4,0.7377189287621398
xgboost,0.8694880706599155
nn_full,0.8469240399140913
nn_lv1,0.8450738275766101
nn_lv2,0.8400796853433008
nn_lv3,0.8077165932310012
nn_lv4,0.7487902961289623
xgboost,0.8648211607629264
nn_full,0.8568521417119874
nn_lv1,0.8458689846916551
nn_lv2,0.8406360289778841
nn_lv3,0.8179282356314995
nn_lv4,0.7501082787631635
xgboost,0.8814025015308207
nn_full,0.8635488522122176
nn_lv1,0.8646842836377747
nn_lv2,0.8569540422276485
nn_lv3,0.8383653785133645
nn_lv4,0.7734236126289037
xgboost,0.8905195244610404
nn_full,0.8779245194513386
nn_lv1,0.8740843054518298
nn_lv2,0.8669010079194418
nn_lv3,0.8487665149254598
nn_lv4,0.7864409383340019
xgboost,0.8760519077826564
nn_full,0.8491011240546409
nn_lv1,0.8537846931272721
nn_lv2,0.846366070183842
nn_lv3,0.8157183066604534
nn_lv4,0.7642933470227642
xgboost,0.8648035325352682
nn_full,0.8527625348414773
nn_lv1,0.8442565878932833
nn_lv2,0.8364419347882707
nn_lv3,0.8103039826506204
nn_lv4,0.7439024913788794
xgboost,0.8949334356852993
nn_full,0.8726792722508369
nn_lv1,0.874968900793425
nn_lv2,0.8663100394502599
nn_lv3,0.843525097860602
nn_lv4,0.791915043581423
xgboost,0.8807359332264204
nn_full,0.8583012110548479
nn_lv1,0.8657993567147905
nn_lv2,0.8558785096623659
nn_lv3,0.8341180738736089
nn_lv4,0.7743993805311277
